ID,Link,Price,Status,Image URL
19507429,https://www.zillow.com/homedetails/72-Peter-Coutts-Cir-Stanford-CA-94305/19507429_zpid/,$1.15M,Sold,https://photos.zillowstatic.com/fp/6e76332caba0646a6f258a7ba86b53ab-p_e.jpg
19506859,https://www.zillow.com/homedetails/843-Sonoma-Ter-Stanford-CA-94305/19506859_zpid/,$3.00M,Sold,https://photos.zillowstatic.com/fp/760fe83c5950dd1830db5b901d42d85f-p_e.jpg
19507138,https://www.zillow.com/homedetails/866-Tolman-Dr-Palo-Alto-CA-94305/19507138_zpid/,$2.80M,Sold,https://photos.zillowstatic.com/fp/eb05af5a57478a2b55d6b3fc9f7d612f-p_e.jpg
19507014,https://www.zillow.com/homedetails/827-Lathrop-Dr-Stanford-CA-94305/19507014_zpid/,$3.80M,Sold,https://photos.zillowstatic.com/fp/31163e3410e08b3ad4c4b815003890e1-p_e.jpg
19507240,https://www.zillow.com/homedetails/801-Allardice-Way-Stanford-CA-94305/19507240_zpid/,$3.00M,Sold,https://photos.zillowstatic.com/fp/6938e0499036a0dd3130a9f947ed4533-p_e.jpg
19507422,https://www.zillow.com/homedetails/65-Peter-Coutts-Cir-Stanford-CA-94305/19507422_zpid/,$1.13M,Sold,https://photos.zillowstatic.com/fp/dd2a112757be2cd681766da2849d393a-p_e.jpg
19507030,https://www.zillow.com/homedetails/835-Mayfield-Ave-Stanford-CA-94305/19507030_zpid/,$3.00M,Sold,https://photos.zillowstatic.com/fp/f0d21b908eea9be87e48ac9b82f05fee-p_e.jpg
19507385,https://www.zillow.com/homedetails/28-Peter-Coutts-Cir-Stanford-CA-94305/19507385_zpid/,$1.45M,Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.41317367553711,-122.15237426757812&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=-lAbtpejNh2HK0vlRa0bMLWmbF8="
19507340,https://www.zillow.com/homedetails/64-Pearce-Mitchell-Pl-Stanford-CA-94305/19507340_zpid/,"$510,000",Sold,https://photos.zillowstatic.com/fp/39b0f17f4f692c042380b0633d7e2f74-p_e.jpg
19507369,https://www.zillow.com/homedetails/12-Peter-Coutts-Cir-Stanford-CA-94305/19507369_zpid/,"$950,000",Sold,https://photos.zillowstatic.com/fp/ad0beb4c46e53f04cf49ea971ae29d7d-p_e.jpg
19506977,https://www.zillow.com/homedetails/733-Alvarado-Ct-Stanford-CA-94305/19506977_zpid/,$2.96M,Sold,https://photos.zillowstatic.com/fp/19cbe7b800feb66ca40055389eb9d2b0-p_e.jpg
19507231,https://www.zillow.com/homedetails/855-Allardice-Way-Stanford-CA-94305/19507231_zpid/,$2.55M,Sold,https://photos.zillowstatic.com/fp/3cfa322289f140ab043b5c5ec1b04fd7-p_e.jpg
19507319,https://www.zillow.com/homedetails/43-Pearce-Mitchell-Pl-Stanford-CA-94305/19507319_zpid/,"$525,000",Sold,https://photos.zillowstatic.com/fp/418eb5b889667241506cdb05b0983e49-p_e.jpg
19507251,https://www.zillow.com/homedetails/1091-Cathcart-Way-Stanford-CA-94305/19507251_zpid/,$3.18M,Sold,https://photos.zillowstatic.com/fp/f39aa0bce1a6aa917521ac5f23fe37da-p_e.jpg
19507000,https://www.zillow.com/homedetails/860-Lathrop-Dr-Stanford-CA-94305/19507000_zpid/,$3.15M,Sold,https://photos.zillowstatic.com/fp/373ce25e8247521a21b8c1a789082d87-p_e.jpg
19506761,https://www.zillow.com/homedetails/649-Mirada-Ave-Stanford-CA-94305/19506761_zpid/,$4.80M,Sold,https://photos.zillowstatic.com/fp/34d123bc909712202bdb907e553bd0a0-p_e.jpg
19507253,https://www.zillow.com/homedetails/1079-Cathcart-Way-Stanford-CA-94305/19507253_zpid/,$2.98M,Sold,https://photos.zillowstatic.com/fp/b32fe64e795f8aa77861a549825fc529-p_e.jpg
19507520,https://www.zillow.com/homedetails/4-Ryan-Ct-Stanford-CA-94305/19507520_zpid/,$2.30M,Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.41316604614258,-122.1575927734375&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=Oj7rsq_KfMN8DBb6SDfus0OfXBI="
65391069,https://www.zillow.com/homedetails/915-Mears-Ct-Stanford-CA-94305/65391069_zpid/,$3.33M,Sold,https://photos.zillowstatic.com/fp/f60c96c1a47b83ee6791b8536172913d-p_e.jpg
19507049,https://www.zillow.com/homedetails/936-Lathrop-Pl-Stanford-CA-94305/19507049_zpid/,$2.48M,Sold,https://photos.zillowstatic.com/fp/51d52169130b23bacc468952d9dcfd42-p_e.jpg
19507142,https://www.zillow.com/homedetails/894-Tolman-Dr-Palo-Alto-CA-94305/19507142_zpid/,$3.66M,Sold,https://photos.zillowstatic.com/fp/070482627b138f835d4c62d671292ca3-p_e.jpg
337974935,https://www.zillow.com/homedetails/722-Dolores-St-Stanford-CA-94305/337974935_zpid/,$3.25M,Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.418094635009766,-122.1669921875&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=AUwSHloRcz2FWFSa-962c8ijuU4="
94697794,https://www.zillow.com/homedetails/515-Olmsted-Rd-Stanford-CA-94305/94697794_zpid/,$1.68M,Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.426841735839844,-122.15028381347656&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=COtQqkJLlArqkw3UbwZXbKjUFb8="
339009171,https://www.zillow.com/homedetails/624-Costanzo-St-Stanford-CA-94305/339009171_zpid/,$2.30M,Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.41885757446289,-122.1666259765625&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=KYnetThmD4LhDYxBwz2xzT9_dfc="
19507208,https://www.zillow.com/homedetails/1052-Vernier-Pl-Palo-Alto-CA-94305/19507208_zpid/,$3.40M,Sold,https://photos.zillowstatic.com/fp/6f2b3fed45275352e8581c4720294930-p_e.jpg
19507301,https://www.zillow.com/homedetails/25-Pearce-Mitchell-Pl-Stanford-CA-94305/19507301_zpid/,"$482,500",Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.420963287353516,-122.16744995117188&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=hGGUeE_gRLkTB92Y2O02Lapcyjg="
19507137,https://www.zillow.com/homedetails/860-Tolman-Dr-Palo-Alto-CA-94305/19507137_zpid/,$3.00M,Sold,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=37.41044616699219,-122.15626525878906&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=y67Y2vOw4pwKJ8M4aIoDqkDp3xc="
19507360,https://www.zillow.com/homedetails/2-Peter-Coutts-Cir-Stanford-CA-94305/19507360_zpid/,$1.05M,Sold,https://photos.zillowstatic.com/fp/8f4d01850d42ca000def30f0b152fa36-p_e.jpg
